Flash Device Information:

      CFI Compliant: no
        Command Set: Generic SPI Flash
   Device/Bus Width: x16
 Little Word Endian: no
    Fast Bulk Erase: no
    Multibyte Write: 256 bytes max
  Phys base address: 0xbadf1a5
 Uncached Virt addr: 0x1badf1a5
   Cached Virt addr: 0x2badf1a5
   Number of blocks: 257
         Total size: 16777216 bytes, 16 Mbytes
       Current mode: Read Array
        Device Size: 16 MB, Write buffer: 256, Flags: 0

      Size  Device      Device     Region
Block  kB   Address     Offset     Offset   Region Allocation
----- ---- ---------- ----------- --------- -----------------
  199   64 0x1c73f1a5    0xc60000  0x460000 Image2
  200   64 0x1c74f1a5    0xc70000  0x470000 Image2
  201   64 0x1c75f1a5    0xc80000  0x480000 Image2
  202   64 0x1c76f1a5    0xc90000  0x490000 Image2
  203   64 0x1c77f1a5    0xca0000  0x4a0000 Image2
  204   64 0x1c78f1a5    0xcb0000  0x4b0000 Image2
  205   64 0x1c79f1a5    0xcc0000  0x4c0000 Image2
  206   64 0x1c7af1a5    0xcd0000  0x4d0000 Image2
  207   64 0x1c7bf1a5    0xce0000  0x4e0000 Image2
  208   64 0x1c7cf1a5    0xcf0000  0x4f0000 Image2
  209   64 0x1c7df1a5    0xd00000  0x500000 Image2
  210   64 0x1c7ef1a5    0xd10000  0x510000 Image2
  211   64 0x1c7ff1a5    0xd20000  0x520000 Image2
  212   64 0x1c80f1a5    0xd30000  0x530000 Image2
  213   64 0x1c81f1a5    0xd40000  0x540000 Image2
  214   64 0x1c82f1a5    0xd50000  0x550000 Image2
  215   64 0x1c83f1a5    0xd60000  0x560000 Image2
  216   64 0x1c84f1a5    0xd70000  0x570000 Image2
  217   64 0x1c85f1a5    0xd80000  0x580000 Image2
  218   64 0x1c86f1a5    0xd90000  0x590000 Image2
  219   64 0x1c87f1a5    0xda0000  0x5a0000 Image2
  220   64 0x1c88f1a5    0xdb0000  0x5b0000 Image2
  221   64 0x1c89f1a5    0xdc0000  0x5c0000 Image2
  222   64 0x1c8af1a5    0xdd0000  0x5d0000 Image2
  223   64 0x1c8bf1a5    0xde0000  0x5e0000 Image2
  224   64 0x1c8cf1a5    0xdf0000  0x5f0000 Image2
  225   64 0x1c8df1a5    0xe00000  0x600000 Image2
  226   64 0x1c8ef1a5    0xe10000  0x610000 Image2
  227   64 0x1c8ff1a5    0xe20000  0x620000 Image2
  228   64 0x1c90f1a5    0xe30000  0x630000 Image2
  229   64 0x1c91f1a5    0xe40000  0x640000 Image2
  230   64 0x1c92f1a5    0xe50000  0x650000 Image2
  231   64 0x1c93f1a5    0xe60000  0x660000 Image2
  232   64 0x1c94f1a5    0xe70000  0x670000 Image2
  233   64 0x1c95f1a5    0xe80000  0x680000 Image2
  234   64 0x1c96f1a5    0xe90000  0x690000 Image2
  235   64 0x1c97f1a5    0xea0000  0x6a0000 Image2
  236   64 0x1c98f1a5    0xeb0000  0x6b0000 Image2
  237   64 0x1c99f1a5    0xec0000  0x6c0000 Image2
  238   64 0x1c9af1a5    0xed0000  0x6d0000 Image2
  239   64 0x1c9bf1a5    0xee0000  0x6e0000 Image2
  240   64 0x1c9cf1a5    0xef0000  0x6f0000 Image2
  241   64 0x1c9df1a5    0xf00000  0x700000 Image2
  242   64 0x1c9ef1a5    0xf10000  0x710000 Image2
  243   64 0x1c9ff1a5    0xf20000  0x720000 Image2
  244   64 0x1ca0f1a5    0xf30000  0x730000 Image2
  245   64 0x1ca1f1a5    0xf40000  0x740000 Image2
  246   64 0x1ca2f1a5    0xf50000  0x750000 Image2
  247   64 0x1ca3f1a5    0xf60000  0x760000 Image2
  248   64 0x1ca4f1a5    0xf70000  0x770000 Image2 (7864320 bytes)
  249   64 0x1ca5f1a5    0xf80000         0 Backup Dynamic NonVol
  250   64 0x1ca6f1a5    0xf90000   0x10000 Backup Dynamic NonVol
  251   64 0x1ca7f1a5    0xfa0000   0x20000 Backup Dynamic NonVol
  252   64 0x1ca8f1a5    0xfb0000   0x30000 Backup Dynamic NonVol (262144 bytes)
  253   64 0x1ca9f1a5    0xfc0000         0 Dynamic NonVol
  254   64 0x1caaf1a5    0xfd0000   0x10000 Dynamic NonVol
  255   64 0x1cabf1a5    0xfe0000   0x20000 Dynamic NonVol
  256   64 0x1cacf1a5    0xff0000   0x30000 Dynamic NonVol (262144 bytes)
